full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,TypeScript,443513,2014-12-24T17:49:19Z,0,2,160.0,8.325277777777778,5.841944444444444,382,0.0771,55,0.0,1,1.0,1,0.7,0,11.536,-1.8462,0.0,0.27,100,0.2299,0.0,22678,1133900,1814240,11339,120949.3,3180.3,3868.25,618920.3,185212.8,84.2
openclaw/openclaw,https://github.com/openclaw/openclaw,TypeScript,363563,2025-11-24T10:16:47Z,0,2,160.0,4.124027777777778,0.6841666666666667,357,0.6294,50,0.0,1,2.0,1,0.72,1,16.384,164.3811,0.83,1.0,1718,0.0967,0.0,32899,1644950,2631920,16449,175461.3,1472.3,5717.04,914727.1,271117.8,83.7
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,TypeScript,353565,2017-03-15T13:45:52Z,0,2,160.03,54.36527777777778,44.410555555555554,468,0.5344,22,0.0,1,1.0,1,0.94,1,11.181,-0.3601,0.0,0.0,100,0.1548,0.0,5863,293150,469040,2931,31269.3,25443.0,934.66,149546.3,53176.8,84.7
n8n-io/n8n,https://github.com/n8n-io/n8n,TypeScript,185495,2019-06-22T09:24:21Z,0,2,160.01,17.682222222222222,19.895972222222223,422,0.248,67,0.0,1,2.0,1,0.18,0,11.423,1.8182,1.4,0.0,155,0.0863,0.0,18677,933850,1494160,9338,99610.7,7461.9,3155.02,504803.3,153004.6,82.5
microsoft/vscode,https://github.com/microsoft/vscode,TypeScript,184235,2015-09-03T20:23:38Z,0,2,160.0,20.308333333333334,1.591388888888889,320,0.1006,71,0.0,1,2.0,1,0.7,1,13.812,-3.8566,5.85,0.12,250,0.0429,0.0,146659,7332950,11732720,73329,782181.3,6498.7,27463.37,4394139.9,1271868.2,89.0
anomalyco/opencode,https://github.com/anomalyco/opencode,TypeScript,149133,2025-04-30T20:08:00Z,0,2,160.02,3.498611111111111,2.4208333333333334,453,0.207,65,0.0,1,0.0,1,0.46,0,11.148,-2.451,1.1,0.08,80,0.4159,0.0,9921,496050,793680,4960,52912.0,1584.9,1623.73,259796.3,78890.7,82.9
langgenius/dify,https://github.com/langgenius/dify,TypeScript,139083,2023-04-12T07:40:24Z,0,2,160.0,0.5973611111111111,1.6925,459,0.0745,26,0.0,1,1.0,1,0.78,0,9.604,12.1084,7.05,0.07,13,0.4719,0.0,9150,457500,732000,4575,48800.0,274.2,1491.5,238639.3,72210.1,84.3
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,TypeScript,139018,2016-07-05T05:00:48Z,19,2,160.0,1.1355555555555557,7.148055555555556,174,0.4938,65,0.0,1,1.0,1,0.0,0,11.537,0.0699,0.0,0.2,13,0.0874,0.0,1300,65000,104000,650,6933.3,197.6,192.21,30753.2,9676.6,78.5
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,TypeScript,121896,2020-01-02T01:04:43Z,0,2,160.05,0.6563888888888889,34.31472222222222,340,0.267,51,0.0,1,1.0,1,0.72,0,11.327,-0.7552,121.72,0.27,75,0.0595,0.0,3105,155250,248400,1552,16560.0,223.2,479.51,76721.0,23691.2,82.3
iptv-org/iptv,https://github.com/iptv-org/iptv,TypeScript,115123,2018-11-14T22:00:57Z,0,2,160.0,3.47375,12.286666666666667,348,0.3177,92,0.0,1,2.0,1,0.98,1,9.673,-4.2762,0.0,0.26,59,0.4594,0.0,26486,1324300,2118880,13243,141258.7,1208.9,4552.99,728478.8,216687.8,86.8
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,TypeScript,113266,2023-11-21T18:24:03Z,0,2,160.0,2.8166666666666664,3.097083333333333,135,0.2689,60,0.0,1,2.0,1,0.84,0,5.605,0.8531,24.19,0.24,103,0.4134,0.0,3800,190000,304000,1900,20266.7,380.2,592.79,94846.8,29216.8,82.3
shadcn-ui/ui,https://github.com/shadcn-ui/ui,TypeScript,112958,2023-01-04T12:43:27Z,0,2,160.0,23.177777777777777,43.99888888888889,462,0.6271,59,0.0,1,1.0,1,0.14,0,15.492,-5.0944,7.61,0.1,59,0.0955,0.0,1920,96000,153600,960,10240.0,10708.1,289.46,46314.4,17595.3,78.7
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,TypeScript,112089,2024-04-15T21:02:29Z,0,2,160.0,13.119444444444444,42.636944444444445,137,0.3766,81,0.0,1,1.0,1,0.46,0,7.165,1.2413,14.87,0.03,0,0.3319,0.0,4926,246300,394080,2463,26272.0,1797.4,778.48,124557.2,38586.7,81.2
microsoft/TypeScript,https://github.com/microsoft/TypeScript,TypeScript,108657,2014-06-17T15:28:39Z,2,2,160.0,11.24625,58.43833333333333,344,0.1231,74,0.0,1,1.0,1,0.62,1,13.198,-1.1224,43.83,0.07,67,0.0014,0.0,31422,1571100,2513760,15711,167584.0,3868.7,5447.85,871656.2,259283.8,88.6
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,TypeScript,102345,2025-04-17T17:04:31Z,0,2,160.0,0.5047222222222223,27.96055555555556,443,0.0662,48,0.0,1,2.0,1,0.38,0,11.934,-7.3427,1.07,0.02,148,0.0211,0.0,5722,286100,457760,2861,30517.3,223.6,911.08,145772.3,44480.2,84.3
supabase/supabase,https://github.com/supabase/supabase,TypeScript,101391,2019-10-12T05:56:49Z,0,2,160.0,5.615,13.688611111111111,387,0.1464,53,0.0,1,1.0,1,0.46,0,11.643,3.1049,200.6,0.0,76,0.3128,0.0,31702,1585100,2536160,15851,169077.3,2173.0,5498.84,879813.7,261153.3,83.5
angular/angular,https://github.com/angular/angular,TypeScript,100053,2014-09-18T16:12:01Z,0,2,160.0,18.03361111111111,2.662361111111111,378,0.0572,59,0.0,1,1.0,1,0.3,0,12.757,-2.7727,2.88,0.0,160,0.1246,0.0,33694,1684700,2695520,16847,179701.3,6816.7,5862.19,937950.5,279485.8,84.4
immich-app/immich,https://github.com/immich-app/immich,TypeScript,98559,2022-02-03T15:56:27Z,0,2,160.02,3.210277777777778,3.3672222222222223,459,0.2363,58,0.0,1,1.0,1,0.9,0,9.027,-1.8636,10.31,0.08,6,0.4699,0.0,8129,406450,650320,4064,43354.7,1473.5,1317.25,210760.3,64271.5,82.6
ant-design/ant-design,https://github.com/ant-design/ant-design,TypeScript,97842,2015-04-24T15:37:24Z,0,2,160.0,0.8952777777777777,14.82402777777778,368,0.3967,49,0.0,1,2.0,1,0.92,1,13.241,-0.8147,5.38,0.24,242,0.0058,0.0,27072,1353600,2165760,13536,144384.0,329.5,4658.82,745411.5,221373.2,86.0
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,TypeScript,94743,2017-10-06T14:59:14Z,0,2,160.03,2.0330555555555554,7.808055555555556,319,0.5148,73,0.0,1,1.0,1,0.8,0,12.927,-0.2413,15.83,0.05,37,0.1819,0.0,5631,281550,450480,2815,30032.0,648.5,895.87,143339.1,43878.4,79.9
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,TypeScript,94188,2017-05-09T22:16:13Z,0,2,160.0,1.4608333333333334,18.651944444444446,446,0.2261,80,0.0,1,1.0,1,0.74,1,10.942,-0.4021,5.61,0.0,127,0.0639,0.0,5078,253900,406240,2539,27082.7,651.5,803.72,128595.9,39456.0,87.7
storybookjs/storybook,https://github.com/storybookjs/storybook,TypeScript,89794,2016-03-18T04:23:44Z,0,2,160.0,10.747083333333332,13.788888888888888,367,0.2093,82,0.0,1,2.5,1,0.38,0,14.022,-5.4371,1.75,0.02,67,0.2024,0.0,71978,3598900,5758240,35989,383882.7,3944.2,13007.37,2081179.3,609360.5,82.9
ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,TypeScript,87793,2023-03-10T18:27:54Z,143,2,160.0,2.0383333333333336,91.09847222222223,259,0.3788,44,0.0,1,2.0,1,0.44,1,9.845,0.0,32.65,0.3,65,0.0831,0.0,2896,144800,231680,1448,15445.3,527.9,445.67,71308.0,22142.6,74.3
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,TypeScript,87626,2014-11-01T23:52:32Z,0,2,160.0,7.556805555555556,312.67527777777775,365,0.2419,80,0.0,1,2.0,1,0.88,1,11.021,-1.2937,12.95,0.13,116,0.5139,0.0,13090,654500,1047200,6545,69813.3,2758.2,2172.28,347565.3,105247.2,87.6
microsoft/playwright,https://github.com/microsoft/playwright,TypeScript,87253,2019-11-15T18:32:42Z,0,2,160.01,2.344027777777778,17.090138888888887,467,0.2147,70,0.0,1,1.0,1,0.5,1,12.145,2.049,16.2,0.06,143,0.0915,0.0,15865,793250,1269200,7932,84613.3,1094.7,2658.23,425316.1,127698.3,87.9
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,TypeScript,84488,2024-11-19T01:10:17Z,7,2,160.05,4.276527777777778,82.78027777777778,426,0.1535,54,0.0,1,0.0,1,0.0,0,10.835,-0.451,24.45,0.27,17,0.3064,0.0,3407,170350,272560,1703,18170.7,1821.8,528.59,84574.7,26546.8,82.9
realworld-apps/realworld,https://github.com/realworld-apps/realworld,TypeScript,83261,2016-02-26T20:49:53Z,10,2,160.17,15.0125,2309.833611111111,83,0.3009,53,0.0,1,0.0,1,0.94,0,12.158,-1.2448,0.0,0.2,0,0.4521,0.0,967,48350,77360,483,5157.3,1246.0,140.87,22539.7,7460.4,80.7
garrytan/gstack,https://github.com/garrytan/gstack,TypeScript,82724,2026-03-11T21:22:45Z,0,2,160.66,0.5898611111111112,118.50833333333334,9,0.9671,24,0.0,1,0.0,1,0.04,1,17.435,3.2972,0.0,0.32,87,0.2563,0.0,243,12150,19440,121,1296.0,5.3,39.65,6343.3,1918.2,60.7
vitejs/vite,https://github.com/vitejs/vite,TypeScript,80196,2020-04-21T05:03:57Z,0,2,160.02,7.189444444444445,30.683055555555555,437,0.2423,63,0.0,1,1.0,1,0.52,0,11.56,0.2657,3.53,0.02,60,0.177,0.0,7933,396650,634640,3966,42309.3,3141.8,1283.92,205427.7,63182.7,82.6
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,TypeScript,79024,2019-08-21T13:15:24Z,0,2,160.03,1.067361111111111,111.46111111111111,304,0.435,66,0.0,1,3.0,1,0.7,0,10.774,-0.5629,7.54,0.04,50,0.3341,0.0,5685,284250,454800,2842,30320.0,324.5,904.89,144782.7,44213.9,80.7
Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,TypeScript,77777,2023-01-27T18:22:42Z,0,2,160.04,20.894166666666667,6.707638888888889,268,0.4682,57,0.0,1,1.0,1,0.78,0,6.528,-0.5105,4.93,0.04,0,0.5208,0.0,3949,197450,315920,1974,21061.3,5599.6,617.22,98755.5,31961.6,80.3
coder/code-server,https://github.com/coder/code-server,TypeScript,77272,2019-02-27T16:50:41Z,1,2,160.0,8.0625,122.39138888888888,253,0.3674,64,0.0,1,1.0,1,0.66,1,9.854,0.7168,7.12,0.06,89,0.1724,0.0,3508,175400,280640,1754,18709.3,2039.8,545.06,87209.2,27408.4,86.2
lobehub/lobehub,https://github.com/lobehub/lobehub,TypeScript,75613,2023-05-21T07:19:12Z,0,2,160.02,1.0548611111111112,1.0477777777777777,315,0.2431,52,0.0,1,1.0,1,0.08,1,7.538,2.7972,1.9,0.14,438,0.0128,0.0,9757,487850,780560,4878,52037.3,332.3,1595.56,255288.9,77176.1,87.6
nestjs/nest,https://github.com/nestjs/nest,TypeScript,75310,2017-02-04T20:12:52Z,0,2,160.01,81.57888888888888,6.3133333333333335,387,0.703,95,0.0,1,0.0,1,0.82,0,9.067,-0.1643,15.3,0.0,168,0.0015,0.0,15823,791150,1265840,7911,84389.3,31571.0,3181.0,508960.7,153458.1,78.0
grafana/grafana,https://github.com/grafana/grafana,TypeScript,73414,2013-12-11T15:59:56Z,0,2,160.0,2.3375,0.25333333333333335,366,0.1728,68,0.0,1,1.0,1,0.84,0,15.306,3.2168,5.18,0.01,412,0.5066,0.0,59678,2983900,4774240,29839,318282.7,855.5,10684.02,1709443.3,501286.7,83.3
apache/superset,https://github.com/apache/superset,TypeScript,72577,2015-07-21T18:55:34Z,0,2,160.01,4.911666666666667,2.0244444444444443,420,0.1588,7,0.0,1,1.0,1,0.78,1,11.636,0.5,13.13,0.1,286,0.4973,0.0,15173,758650,1213840,7586,80922.7,2062.9,2536.62,405858.6,122251.9,88.4
daytonaio/daytona,https://github.com/daytonaio/daytona,TypeScript,72387,2024-02-06T08:21:20Z,0,2,160.07,3.41625,1.0770833333333334,219,0.2817,66,0.0,1,2.0,1,0.74,0,7.871,0.549,1.81,0.0,282,0.5736,0.0,2215,110750,177200,1107,11813.3,748.2,336.34,53813.6,16893.8,82.2
abi/screenshot-to-code,https://github.com/abi/screenshot-to-code,TypeScript,72360,2023-11-14T17:53:32Z,16,2,160.0,27.354305555555555,17.730555555555554,25,0.9038,40,0.0,1,1.0,0,0.0,0,16.892,-6.6503,0.0,0.15,6,0.4627,0.0,1268,63400,101440,634,6762.7,683.9,224.69,35950.6,10776.6,64.6
strapi/strapi,https://github.com/strapi/strapi,TypeScript,71997,2015-09-30T15:34:48Z,0,2,160.0,23.022777777777776,9.54888888888889,346,0.1766,73,0.0,1,2.0,1,0.42,1,11.396,1.049,3.48,0.0,156,0.1405,0.0,32171,1608550,2573680,16085,171578.7,7965.9,5584.28,893485.5,266876.2,88.2
